,Dates,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/29/2000,12/29/2000,3/30/2001,6/29/2001,9/28/2001,12/31/2001,3/29/2002,6/28/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/30/2005,3/31/2006,6/30/2006,9/29/2006,12/29/2006,3/30/2007,6/29/2007,9/28/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/30/2011,3/30/2012,6/29/2012,9/28/2012,12/31/2012,3/29/2013,6/28/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/30/2016,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018
FE US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,29,31.2101,31.5386,32.2925,34.2673,29.8312,33.4394,27.6684,25.1576,23.2455,26.7481,31.2763,37.1662,33.3205,38.8692,43.9893,43.268,43.1931,42.1639,38.2167,42.6352,41.2366,50.9011,42.7355,47.669,53.4613,51.674,57.2773,55.5903,59.6346,69.0502,75.4269,71.5581,72.0909,80.6242,83.7437,91.1029,100.889,99.297,97.9759,112.7064,107.751,130.2004,106.7925,78.2426,62.8397,63.9098,76.4079,78.6444,67.0325,61.3435,68.0821,66.3997,67.482,81.3827,83.8311,83.6863,87.2114,95.2039,86.3007,82.7778,84.8127,75.9626,75.2531,69.0974,72.1466,74.4024,72.7491,85.3146,77.403,72.5942,70.5778,72.3554,82.905,81.3227,77.8989,73.7188,76.6543,71.1199,76.0373,76.349,85.79,91.5388,95.6919,97.5992
ALXN US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,2.0938,2.1875,2.5,2.1719,2.5938,2.2188,3.6875,3.125,3.0938,2.5,2.3125,3.3438,2.1094,2.2188,3.6875,7.5313,17.4375,17.875,28.5,16.2344,5.7031,6,4.255,6.11,5.8775,3.7875,2.8975,3.53,3.04,4.2975,4.2325,4.2525,5.9425,4.65,4.5,6.3,5.4163,5.76,6.9125,5.0625,8.855,9.03,8.495,10.0975,10.81,11.265,16.2875,18.7575,14.825,18.125,19.65,18.095,18.83,20.555,22.27,24.41,27.185,25.595,32.18,40.275,49.34,47.03,64.06,71.5,92.86,99.3,114.4,93.74,92.14,92.24,116.16,132.884,152.13,156.25,165.82,185.03,173.3,180.77,156.39,190.75,139.22,116.76,122.54,122.35,121.24,121.67,140.29,119.59,111.46,124.15,139.01,97.36
CL US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,9.259,8.4952,9.0173,10.0612,11.0166,11.3577,12.1231,13.157,17.3223,18.568,19.6583,23.2946,23.703,18.5705,25.1666,25.0206,26.863,25.0311,35.6615,31.0098,33.0235,26.1059,35.8081,30.7377,32.9111,32.6063,32.4259,32.1916,28.284,30.5977,29.8302,31.0862,33.2288,32.1842,28.941,32.0104,34.101,26.4765,30.1378,30.8825,29.7114,31.6012,33.0158,34.5556,36.4538,37.9874,40.1184,41.2693,40.2849,44.5369,48.9211,49.1232,43.7961,48.0299,43.9862,38.0929,46.0277,49.9297,54.07,56.4292,52.4562,51.5193,54.2443,54.8732,59.8188,61.0896,64.0384,68.216,73.0806,75.72,74.2522,84.3131,82.3135,85.6934,94.744,94.7506,100.1209,96.2706,102.7094,103.4742,98.1471,95.7617,101.1018,107.8578,112.3706,114.4124,101.542,114.2282,116.3258,114.948,119.709,114.3154,103.9813,108.1028,96.7502
TEL US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,39.06,35.57,37.2767,34.5982,36.2559,28.1089,16.5986,11.4116,19.4448,23.4612,26.0244,29.3111,27.2252,31.5389,38.3943,37.9295,40.2399,30.9821,34.1182,40.8989,35.7465,38.3286,42.0851,47.788,52.1932,59.6488,63.7867,69.9917,72.2432,64.8931,74.5744,84.7824,76.4759,71.6441,77.6689,74.8659,69.483,78.7874,85.2527,92.1887,97.8023,103.7727,119.2427,125.8366,113.9711,111.8137,96.7359
BBT US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,12.2467,13.5213,13.6403,14.5479,16.7901,17.7463,19.5,20.1909,24.5733,29.3627,35.3925,37.5878,37.7261,33.5699,45.4696,41.003,41.7582,37.0599,31.5326,32.5731,27.9058,35.5123,44.3488,42.0626,44.1811,44.2034,44.134,46.9263,47.8552,43.7865,46.6485,39.9452,43.991,46.4806,50.4484,46.4924,49.1528,53.2684,56.9359,53.3702,55.0894,54.3089,58.8723,55.5644,59.5177,63.303,64.1246,60.4668,60.5986,60.8578,46.7262,49.6684,35.7753,60.6593,44.7102,28.105,37.5253,46.8465,43.86,56.3122,45.9483,42.2844,46.4613,48.7763,47.9881,38.3646,45.589,57.206,56.5803,61.2074,54.0558,59.1147,64.2695,64.4377,71.7422,77.6979,76.7586,72.9161,76.6907,77.3811,80.5534,71.6298,76.6124,67.9953,73.3783,78.3541,98.4263,94.1829,96.3407,100.2758,106.9644,112.7712,110.0487,106.741,96.0317
COF US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,6.5255,9.8634,8.041,9.289,9.6526,10.1459,12.2574,12.7083,12.9063,15.6764,18.6001,27.1079,42.7162,35.4748,39.6157,52.0534,57.6173,40.3777,49.9155,49.6914,46.287,72.7051,68.3232,57.6422,62.4972,47.8458,56.1117,66.4482,63.5638,36.3942,30.9996,31.3301,51.3727,59.6173,64.0872,78.9019,71.5561,77.3638,88.1873,78.3284,83.849,83.362,90.6065,84.4672,89.6666,82.57,80.6663,79.2638,82.4231,69.8293,49.7047,52.1536,40.5564,54.9025,34.7001,13.663,24.4699,40.0179,42.9982,46.5064,45.3135,44.5241,47.9745,58.6278,58.3524,44.8098,47.8755,63.1672,62.0048,64.7278,65.8277,62.496,71.7977,78.9144,88.3301,89.3459,96.0218,95.2473,96.6846,92.6814,103.945,86.1118,86.139,83.2641,76.7364,87.3135,106.6011,106.3708,101.9179,104.9283,123.9867,119.8238,115.418,119.7167,95.7466
PGR US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,3.2069,3.7441,4.0943,3.7427,3.8835,4.8124,5.6687,5.3789,7.3316,9.033,10.1136,11.3691,11.9069,9.5271,14.3183,12.1366,12.2689,6.9164,6.197,6.4541,6.2838,6.9592,8.8138,8.2604,11.5127,11.4092,12.7274,14.2101,14.8072,12.9651,12.7149,15.2023,18.7436,17.7265,21.4474,22.4829,21.899,21.7658,21.7962,23.582,25.4017,26.9421,30.038,26.8254,26.4673,25.2721,24.9518,22.4792,24.653,21.9483,21.6656,18.3179,21.3385,19.8339,16.8816,15.32,17.2236,18.8992,20.5064,21.9684,21.5426,24.0167,24.0232,26.0596,26.368,21.9034,24.0617,29.1605,26.2042,26.091,27.7802,33.6888,33.8888,36.3018,36.3551,34.3686,35.9863,35.8727,38.2993,39.6218,40.5395,44.6328,46.3226,52.6795,50.221,47.2227,53.2192,59.8185,67.3149,73.9258,85.9873,94.9783,92.2036,110.7379,94.043
WBA US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,6.3178,7.0864,7.5897,8.3149,8.5657,9.4906,10.3554,10.8041,13.8718,13.2861,16.3007,18.3464,21.5401,23.0054,30.6147,29.5669,30.7833,26.6254,30.7301,27.0862,33.8982,39.9946,44.1155,43.0828,36.4195,36.4227,35.6456,41.5413,40.9864,32.6684,31.0375,31.3888,32.0876,32.7091,38.8832,35.2607,38.7989,38.4451,41.2262,47.784,49.5295,46.8579,47.7985,46.6444,48.5729,48.1609,49.88,49.966,47.4884,51.6324,41.7234,41.846,35.8095,34.2056,27.3811,28.9369,32.892,42.1067,41.409,41.995,30.349,38.3145,44.7813,46.329,49.2008,38.3487,38.8204,39.5869,35.212,43.7135,44.7624,58.0498,54.1112,66.2887,71.1445,82.172,92.67,74.4959,96.2577,107.4285,107.5452,106.2495,109.3645,108.6982,107.937,104.9769,108.2486,109.1162,103.3451,102.4082,96.8504,87.8247,80.9951,99.0029,93.2919
CNP US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,17.7647,18.9346,21.155,19.1677,22.1788,20.263,21.0588,19.7502,20.6223,21.2966,26.6338,29.0379,31.5279,32.2732,33.6349,27.7076,29.7469,29.5546,25.3375,26.5376,33.7566,53.6352,50.4374,53.1823,38.1619,31.5626,32.2445,31.8897,21.3909,12.8594,12.9715,11.605,13.5649,15.4492,16.4927,19.6441,19.9524,18.1375,19.9624,21.5983,23.8496,26.9754,23.4196,22.0005,23.3393,27.0246,31.5797,34.4898,33.7412,31.4242,33.9007,28.5734,32.5093,29.8488,26.2656,22.0211,23.8296,27.1446,32.1705,32.2898,29.9953,36.3128,36.7523,41.5647,46.2802,47.4216,49.0558,48.6757,51.5352,53.6292,48.9713,61.562,60.8734,62.6647,61.1027,63.0836,68.6915,66.4588,64.2493,56.6077,53.4387,51.2987,52.9629,61.2282,71.0607,69.5656,74.6156,84.3456,84.5854,91.077,89.2326,87.1255,89.0701,89.7597,92.5686
NUE US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,13.4103,11.2348,14.3598,14.8824,12.7625,12.8145,12.8981,11.5949,14.3443,13.4008,12.3145,13.9059,11.7812,10.4337,11.1395,11.3813,12.2866,12.3706,14.2712,13.0587,8.7062,8.0079,10.5037,10.6483,13.0385,10.6361,14.2354,17.32,17.5874,10.2971,11.2726,10.4727,13.4572,12.6945,15.5484,17.1276,21.4443,25.5992,29.3977,32.5596,26.0221,33.8795,38.6896,61.1676,64.0511,59.1446,66.0269,79.4142,72.2692,74.0234,74.4549,85.7866,95.2285,50.9659,60.08,50.066,58.7288,62.598,62.6042,61.376,52.2377,52.6221,60.8584,64.4108,58.2195,45.1963,57.0454,62.4493,55.6551,56.7222,64.5316,69.5535,65.8379,75.0542,82.2897,78.486,77.0504,85.4886,77.8362,76.0284,71.0615,61.1578,66.2448,78.3685,82.5131,83.2026,100.7666,101.7437,99.2317,96.7475,110.4128,106.7683,109.8946,112.2372,92.3534
ESRX US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,1.1016,1.375,1.5938,1.4609,1.4375,1.1328,1.1211,1.1172,1.3047,1.6836,1.875,2.6494,2.5195,2.5703,4.1953,5.3711,3.7617,4.8906,4,2.625,3.8828,4.5156,6.3906,5.4175,6.8788,6.915,5.845,7.1988,6.2638,6.815,6.005,6.9624,8.5238,7.6388,8.3038,9.3188,9.9038,8.1675,9.555,10.8988,12.495,15.55,20.95,21.975,17.935,18.8625,17.9,20.18,25.005,27.91,36.5,32.16,31.36,36.91,27.49,23.085,34.375,38.79,43.21,50.88,47.02,48.7,54.05,55.61,53.98,37.07,44.69,54.18,55.83,62.63,54,57.62,61.74,61.8,70.24,75.09,69.33,70.63,84.67,86.77,88.94,80.96,87.41,68.69,75.8,70.53,68.79,65.91,63.84,63.32,74.64,69.08,77.21,95.01,92.33
NDAQ US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.35,10,6.95,8.05,8.05,9.45,8.6,6.3,6.9,10.2,10.7,18.86,25.35,35.18,40.04,29.9,30.24,30.79,29.41,29.71,37.68,49.49,38.66,26.55,30.57,24.71,19.58,21.31,21.05,19.82,21.12,17.78,19.43,23.73,25.84,25.3,23.14,24.51,25.9,22.8082,23.5599,25.4148,32.9821,33.6213,33.0621,41.1178,38.289,40.195,44.3027,50.2527,53.5374,51.5514,56.6017,62.0144,71.0393,69.5489,72.9738,72.86,75.7299,78.3713,85.4691,85.0689,95.8973,101.9855,96.3325,92.0464
TSCO US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,1.2031,1.25,1.2344,1.6563,1.4219,1.3359,1.2891,1.2031,1.125,1.2344,0.9219,1.2891,1.5547,1.2344,1.5,1.5977,1.707,1.1875,1,1.2813,1.0352,0.6875,0.5313,0.875,0.9994,1.1869,2.13,2.875,4.4369,3.9725,4.7,4.1275,5.92,8.2025,9.7485,9.68,10.455,7.86,9.3025,10.9125,12.275,11.4125,13.235,16.585,13.8175,12.065,11.1775,12.875,13.0125,11.5225,8.985,9.88,7.26,10.5125,9.035,9.015,10.33,12.105,13.2425,14.5475,15.3101,19.9584,24.443,30.2144,33.8221,31.6878,35.609,46.0343,42.3106,50.4835,45.212,53.3868,60.4049,69.1875,80.0518,73.0244,62.6058,63.9208,82.0865,88.7507,94.0565,88.3685,89.8048,95.2394,96.2437,71.2881,80.5303,73.512,58.0491,68.1054,80.774,68.3779,83.3439,99.3698,91.5515
LNC US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,22.3782,23.8956,28.026,26.6969,24.5558,23.5391,28.4473,29.261,35.5407,38.7276,43.7523,48.0665,51.8227,46.9061,46.9769,57.1538,60.8196,43.889,47.0651,39.7259,43.234,58.035,57.3972,51.8995,63.6916,57.7412,60.5454,63.6472,53.0243,38.8798,40.6741,36.4207,46.8674,46.9456,54.0433,63.873,64.2295,64.3873,64.4236,62.7849,65.7857,73.4992,75.4698,78.2336,81.436,90.1821,97.0392,99.674,104.9302,98.1076,87.0854,78.3825,68.8341,65.5961,29.2961,10.5059,27.0656,40.7748,39.1685,48.3485,38.2658,37.6983,43.8467,47.4437,45.0703,24.7682,30.8712,42.0705,35.0134,38.8769,41.7616,52.8115,59.2923,68.4784,84.4255,83.1269,84.6703,88.4652,95.5135,95.5076,98.7792,79.4451,84.4738,66.248,65.9596,80.4603,114.0755,113.1491,117.3471,128.1254,134.5548,128.4024,109.9308,120.088,91.4974
CHD US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,1.7491,1.8422,1.5756,1.7876,1.7972,1.7631,1.989,2.5101,2.3458,2.5539,2.4814,2.6869,2.8868,2.6293,3.2279,3.6709,3.9302,4.5302,4.8477,3.134,3.2943,3.3763,4.1024,4.0197,4.7212,4.8097,4.9688,5.5111,5.8738,6.2302,5.7328,5.7345,6.1969,6.6404,7.5309,8.2525,8.7388,8.0501,9.6639,10.2131,10.4408,10.6711,9.5582,10.7016,10.5735,11.3755,12.426,14.6924,14.1609,13.7689,15.8518,15.9251,16.5691,18.284,16.5525,15.4315,16.0726,16.8328,17.9772,19.9562,18.7317,19.4509,20.7263,23.9362,24.5613,26.8886,27.9478,30.1945,34.203,33.4439,33.3413,40.4138,38.7593,37.8885,41.9983,43.9769,44.741,45.085,50.8584,55.3494,52.7806,54.788,55.6547,60.6889,67.9871,63.5527,58.8428,66.664,69.6134,65.2599,67.8574,68.4175,72.5554,81.3489,90.4038
DLTR US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,1.7449,2.2387,1.6296,2.8971,3.1358,3.8025,3.7778,3.6543,4.9753,6.2315,6.1296,7.8704,9.0278,6.9583,9.7083,6.875,9.7778,8.875,10.7639,11.5833,13.1875,13.5208,8.1667,6.4219,9.28,6.2967,10.3033,10.9367,13.1367,7.3467,8.19,6.6333,10.59,11.1833,10.0233,10.2867,9.1433,8.9833,9.59,9.5767,8,7.2167,7.98,9.2233,8.8333,10.32,10.0333,12.7467,14.5167,13.5133,8.64,9.1967,10.8967,12.12,13.8967,14.85,14.0333,16.2267,16.1,19.74,20.815,24.38,28.04,27.76,33.31,37.57,41.555,47.245,53.8,48.29,40.56,48.43,50.84,57.16,56.42,52.18,54.46,56.07,70.38,81.145,78.99,66.66,77.22,82.46,94.24,78.93,77.18,78.46,69.92,86.82,107.31,94.9,85,81.55,90.32
TAP US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,8.311,9.268,11.381,9.252,9.318,11.506,10.028,11.282,14.205,20.286,17.881,18.911,18.443,25.012,30.819,29.567,27.198,29.826,29.024,26.641,33.693,35.287,44.961,36.735,28.281,25.475,30.34,38.469,35.63,32.308,35.26,28.038,28.423,31.315,32.799,40.73,42.56,40.08,44.781,45.882,37.066,38.46,40.444,41.638,41.395,42.21,47.042,58.446,57.315,62.009,64.417,65.799,68.24,58.961,61.982,43.677,54.227,62.683,58.457,54.763,55.538,62.305,66.605,62.616,60.176,53.67,59.482,62.271,57.732,62.958,60.274,69.422,68.329,72.043,81.18,85.654,108.539,109.497,110.145,110.637,104.325,124.792,141.803,145.887,154.012,167.88,149.394,147.534,133.66,126.964,128.316,118.395,107.649,97.898,89.967
UAL US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,39.93,31.02,26.57,44,38.17,40.59,46.53,35.66,23.1163,5.6046,9.4377,11.832,4.8101,3.425,9.8993,13.8612,20.9931,22.0749,25.4033,25.5751,24.6839,24.2974,20.8079,20.2604,23.0841,26.1226,20.9368,25.1027,34.3685,33.5955,32.9727,40.6173,47.9184,44.0961,50.2375,71.8185,72.205,56.9158,56.9588,61.5219,64.2705,44.0639,56.336,78.2498,75.8448,80.7945,65.3657,72.3661,74.5886,74.8677,95.622,89.8993
USB US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,5.1327,6.0153,6.7349,7.3542,7.7351,9.8273,10.6606,13.9455,14.8443,16.2105,20.3171,21.0169,22.7889,23.6712,33.4062,32.2524,30.3825,27.9207,23.1951,25.3617,23.4575,25.0998,26.2561,26.4127,26.1642,25.6886,24.4601,26.6013,27.7597,22.322,25.7317,23.2538,30.264,29.8871,37.4011,35.5227,35.7122,37.764,41.3203,38.4248,39.3308,38.2231,41.1298,42.419,43.4078,47.1615,51.9429,50.7692,48.4098,48.3843,47.8442,49.4054,43.2126,56.4643,39.908,23.3874,28.7656,35.1691,36.2957,41.81,36.1853,35.0836,43.8462,43.1698,41.8765,38.8495,44.8499,52.8485,53.9821,57.9048,54.2491,57.9627,62.1505,63.2856,70.2926,74.9787,76.2146,74.0238,79.9719,78.1387,78.1005,74.2652,77.724,74.4021,74.4078,79.6485,95.9121,96.6751,97.9885,101.7076,102.2541,96.9536,96.6127,102.7145,89.6131
ZTS US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,33.4,30.9515,31.2494,32.8925,29.1859,32.6226,37.433,43.6757,47.0742,49.1247,42.0248,48.9901,45.4197,48.8271,53.5081,55.1826,55.1261,64.6704,66.1011,74.798,86.8502,88.7281,95.5033,89.3488
CVS US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,7.5748,7.7118,6.9495,8.1961,9.2143,10.0677,10.9443,12.2327,13.6228,15.1505,17.098,20.1844,20.8505,23.492,29.5277,25.531,27.3138,21.9911,21.5141,20.3014,21.6471,25.0965,32.5205,31.7686,20.9866,18.0763,16.145,18.7636,16.7528,13.9092,13.7288,13.1435,15.4854,17.1951,20.0304,19.612,23.3855,23.4825,25.1597,29.42,32.5524,32.5233,29.6609,33.5815,34.5596,36.2018,34.8811,38.5836,41.265,44.9405,45.1439,46.0817,45.0793,38.415,32.884,31.5448,36.6666,41.2145,37.2187,42.3543,34.0474,36.649,40.6062,40.2259,44.2007,39.6414,48.3,53.2624,55.7653,57.9887,58.1069,66.3721,69.2832,69.015,87.3643,91.7481,92.7177,98.2628,119.2998,128.3018,130.8285,120.733,122.7606,130.8322,121.2552,113.2006,100.8669,100.958,104.1435,105.9387,95.0707,82.0842,85.5598,105.4642,88.3855
PFE US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,7.7726,9.0529,10.7311,11.5057,12.2674,13.6578,14.3753,14.626,20.8491,21.04,26.1523,35.0463,38.2771,37.3094,44.18,49.1249,38.6636,38.2675,34.6799,39.1943,51.5588,48.3483,49.6164,44.2769,43.4105,43.5807,43.4214,43.4386,38.3937,31.9589,33.8001,34.6222,38.1158,34.0691,39.8037,39.6642,38.9775,34.9794,30.9251,30.4412,32.1788,29.3434,27.642,29.8074,28.3421,34.5615,31.8482,31.4008,32.1256,31.055,29.2533,27.3183,23.1685,24.8577,24.323,19.1166,21.2957,23.7332,26.3315,25.066,21.0604,25.6358,26.4142,30.9613,31.7081,27.5154,34.0138,35.9609,36.8826,40.2154,40.956,47.5412,46.5265,48.1059,51.6937,54.6682,50.9679,51.2302,54.4347,61.3264,59.5999,56.268,58.3008,54.074,64.8168,62.8801,60.9026,64.7946,64.2367,68.9354,70.5753,69.7913,72.0371,88.2552,88.0919
ABC US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,2.767,3.2749,4.0026,4.0026,4.033,5.3975,5.8524,5.3065,6.0495,7.088,7.0653,7.2927,7.9674,6.6028,7.884,8.2934,6.1859,5.7462,3.6843,3.6388,7.5239,11.4015,12.2505,11.8988,13.4271,17.2114,15.4232,16.5825,18.4581,17.352,13.2002,12.7661,16.8703,13.1537,13.67,13.318,14.5663,13.0935,14.3112,13.9779,16.878,18.8737,20.2294,23.5997,20.5069,22.1241,22.0298,25.8703,24.2856,22.9593,22.7647,20.8263,20.3603,19.203,18.2542,16.7627,18.261,23.1032,27.0013,30.0413,33.067,32.0201,35.7469,41.5603,43.6136,39.3825,39.4342,42.2021,42.0216,41.4814,46.5133,55.6713,60.6438,66.6116,76.9126,71.9978,80.0361,85.4083,99.9416,126.3682,118.5184,106.1641,116.3165,97.4513,89.7153,91.7158,89.1794,101.3463,108.7074,95.5952,106.5844,100.4549,99.8049,108.4072,87.8535
STI US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,29.5031,33.685,35.0998,36.0684,38.3391,42.7003,51.521,48.7194,58.0969,71.9448,75.8512,80.375,86.9816,66.6103,82.4782,67.4583,75.639,72.0079,75.737,64.0213,50.9622,56.0485,71.3117,73.7867,74.2492,76.7868,72.7464,77.953,79.6107,72.7371,67.8433,63.2624,71.8438,73.6345,87.7623,86.1553,80.944,88.3424,93.342,91.744,92.6445,89.77,94.7447,95.5385,100.9443,103.1134,113.5132,112.5889,117.2034,104.3994,87.1016,77.8005,51.8481,65.5979,43.8396,17.5576,24.7885,33.9949,30.6015,40.422,35.1688,39.005,44.5809,43.5833,39.0032,27.2047,26.905,36.8188,36.9934,43.2475,43.4505,44.2352,48.6244,50.0882,57.0265,61.8082,62.553,59.6959,66.1015,65.1375,68.5777,61.3195,69.0765,58.5943,67.0838,71.9523,90.559,91.7023,94.5072,100.3119,109.1086,115.588,112.8199,114.9153,87.4787
APH US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.4297,2.6953,3.4805,3.6055,2.4375,2.1797,1.8867,2.3906,2.4844,3.0977,4.1602,6.3906,8.2607,7.1172,4.8984,3.9375,5.0063,4.3438,6.0063,5.85,4.5,3.875,4.75,5.0938,5.8525,6.5063,7.9913,7.425,8.33,8.565,9.185,9.2669,10.0571,10.1069,11.0966,13.0901,14.0467,15.5533,15.598,16.231,17.9303,20.0056,23.339,18.7567,22.6058,20.225,12.091,14.3744,15.9711,19.0274,23.3276,21.3194,19.8562,24.7674,26.6964,27.5181,27.3238,20.6404,22.9873,30.3259,27.9193,29.9835,33.0031,38.1332,39.8676,39.685,45.8424,47.2162,49.7335,51.6744,55.8196,61.2633,60.3977,53.2406,54.7127,60.7193,60.3465,68.492,71.063,75.4298,78.403,90.1016,93.6648,92.073,93.398,100.9999,87.2752
WFC US  EQUITY,TOT_RETURN_INDEX_NET_DVDS,7.3089,8.3346,8.5308,9.5666,9.1483,10.7682,11.5648,12.3736,15.1381,16.5625,21.0616,22.6871,20.5574,19.8425,22.1238,19.5305,23.9211,22.2894,22.845,23.1514,22.1346,26.3795,32.1439,28.6881,27.0609,26.0545,25.6356,29.297,29.8489,28.8772,28.2654,27.3113,30.7876,31.7429,36.5911,35.4893,36.1248,37.9552,39.8741,38.6694,40.1355,38.4978,41.658,42.7036,45.1961,49.1307,48.6644,47.4853,48.8864,49.9506,42.7627,41.6435,34.3398,54.8728,43.5655,21.4538,36.618,42.6107,40.8874,47.2278,38.9101,38.2412,47.276,48.5558,43.1459,37.2506,42.765,53.3473,52.596,54.6637,54.4713,59.3709,66.7574,67.3016,74.4698,82.1422,87.4143,86.8699,92.4107,92.3079,96.0817,88.2982,94.1162,84.3877,83.2317,78.4902,98.5078,100.1671,100.4081,100.6638,111.504,96.8966,103.2741,98.6296,87.1692
